loan_amnt,int_rate,annual_inc,emp_length,grade,home_ownership,purpose,loan_status,issue_d
2000,13.58,28000.0,2 years,C,RENT,other,Charged Off,Apr-2018
4000,14.33,22000.0,,C,RENT,debt_consolidation,Fully Paid,Nov-2015
24000,19.99,50000.0,2 years,D,MORTGAGE,debt_consolidation,Charged Off,Dec-2016
19700,16.99,56160.0,3 years,D,RENT,debt_consolidation,Fully Paid,Jul-2014
8000,18.24,50000.0,3 years,D,OWN,small_business,Fully Paid,Aug-2014
12000,26.49,43000.0,5 years,F,RENT,other,Charged Off,Aug-2016
18000,20.49,50000.0,5 years,E,MORTGAGE,debt_consolidation,Charged Off,Mar-2014
7000,8.39,40000.0,1 year,A,RENT,credit_card,Fully Paid,Aug-2014
20000,18.25,55000.0,1 year,E,OWN,credit_card,Charged Off,Sep-2015
20000,14.99,62000.0,10+ years,C,MORTGAGE,debt_consolidation,Fully Paid,Jan-2017
30000,15.05,100000.0,5 years,C,MORTGAGE,debt_consolidation,Current,Jul-2017
35000,13.56,200000.0,6 years,C,MORTGAGE,debt_consolidation,Current,Nov-2018
7200,19.92,60000.0,3 years,D,OWN,debt_consolidation,Current,Jul-2018
20000,15.59,69000.0,10+ years,D,MORTGAGE,credit_card,Current,Feb-2015
19000,8.9,82000.0,10+ years,A,MORTGAGE,debt_consolidation,Fully Paid,Feb-2014
25000,15.61,55000.0,10+ years,C,RENT,debt_consolidation,Fully Paid,Feb-2014
5350,18.2,65000.0,1 year,E,OWN,debt_consolidation,Fully Paid,Dec-2015
29900,18.99,65000.0,10+ years,D,MORTGAGE,debt_consolidation,In Grace Period,Feb-2016
12000,13.59,75000.0,8 years,C,RENT,other,Current,Jun-2017
25000,21.98,85000.0,1 year,E,RENT,debt_consolidation,Fully Paid,Sep-2012
15000,15.05,55000.0,5 years,C,MORTGAGE,debt_consolidation,Current,Jul-2017
7750,17.77,60000.0,3 years,D,RENT,other,Fully Paid,Jun-2013
20000,9.92,50000.0,3 years,B,MORTGAGE,debt_consolidation,Fully Paid,May-2018
2300,16.14,26650.0,4 years,C,RENT,credit_card,Current,Dec-2018
30000,25.81,103500.0,1 year,E,MORTGAGE,other,Current,Mar-2018
21000,10.75,170000.0,3 years,B,MORTGAGE,debt_consolidation,Current,May-2016
35000,15.59,140000.0,10+ years,C,OWN,debt_consolidation,Current,Oct-2016
12000,15.88,88000.0,3 years,C,RENT,debt_consolidation,Fully Paid,Aug-2013
10000,13.56,93000.0,10+ years,C,RENT,debt_consolidation,Current,Oct-2018
7200,10.42,25000.0,< 1 year,B,RENT,debt_consolidation,Current,Feb-2018
6500,10.49,69500.0,10+ years,B,MORTGAGE,car,Fully Paid,Aug-2016
25000,25.57,79000.0,10+ years,F,RENT,debt_consolidation,Charged Off,Feb-2015
25000,12.74,80000.0,10+ years,C,RENT,debt_consolidation,Fully Paid,Mar-2017
4400,11.39,55000.0,10+ years,B,MORTGAGE,credit_card,Fully Paid,Dec-2016
10000,19.72,50000.0,4 years,D,RENT,debt_consolidation,Fully Paid,Sep-2012
28000,11.55,70000.0,6 years,B,MORTGAGE,debt_consolidation,Current,Jul-2018
15000,10.49,38200.0,,B,MORTGAGE,home_improvement,Fully Paid,Mar-2017
15000,15.02,60000.0,10+ years,C,MORTGAGE,home_improvement,Current,Oct-2018
6225,16.99,70000.0,10+ years,D,RENT,house,Fully Paid,Oct-2014
2975,18.49,25000.0,4 years,E,RENT,debt_consolidation,Fully Paid,Nov-2015
10000,14.46,66000.0,10+ years,C,MORTGAGE,debt_consolidation,Fully Paid,Apr-2016
19375,16.99,50326.0,10+ years,D,MORTGAGE,credit_card,Charged Off,Feb-2015
8000,7.02,65000.0,10+ years,A,MORTGAGE,debt_consolidation,Current,Dec-2018
18000,11.49,207000.0,10+ years,B,MORTGAGE,debt_consolidation,Current,Sep-2016
12000,14.46,55000.0,10+ years,C,MORTGAGE,debt_consolidation,Current,Feb-2016
20000,6.49,105000.0,7 years,A,MORTGAGE,home_improvement,Fully Paid,Feb-2016
11525,14.49,88841.0,10+ years,C,RENT,vacation,Current,Aug-2016
23000,12.85,110000.0,10+ years,B,MORTGAGE,debt_consolidation,Fully Paid,Jan-2014
19000,10.42,150000.0,10+ years,B,MORTGAGE,car,Current,Dec-2017
40000,9.93,40000.0,< 1 year,B,MORTGAGE,debt_consolidation,Late (31-120 days),Aug-2017
5000,11.99,90000.0,10+ years,C,MORTGAGE,vacation,Fully Paid,Feb-2016
18000,15.99,40000.0,3 years,C,MORTGAGE,debt_consolidation,Charged Off,Mar-2017
16000,7.49,106000.0,10+ years,A,RENT,debt_consolidation,Fully Paid,Nov-2014
18000,10.99,116000.0,3 years,B,MORTGAGE,credit_card,Fully Paid,Apr-2014
40000,15.99,83000.0,10+ years,C,MORTGAGE,debt_consolidation,Fully Paid,Nov-2016
14350,10.49,31200.0,,B,OWN,home_improvement,Current,Jun-2016
5025,23.99,75000.0,10+ years,E,MORTGAGE,debt_consolidation,Fully Paid,May-2016
1500,7.46,72000.0,10+ years,A,RENT,debt_consolidation,Current,Jun-2018
10000,8.19,46300.0,10+ years,A,MORTGAGE,debt_consolidation,Fully Paid,Jan-2015
9600,11.05,129000.0,10+ years,B,OWN,credit_card,Current,Jun-2018
30000,6.67,80000.0,< 1 year,A,RENT,debt_consolidation,Current,Oct-2018
9600,5.32,132000.0,3 years,A,MORTGAGE,debt_consolidation,Current,Jan-2017
16000,11.53,42000.0,10+ years,B,RENT,debt_consolidation,Fully Paid,Mar-2015
7000,9.44,53000.0,7 years,B,MORTGAGE,debt_consolidation,Current,Jul-2017
32000,9.43,186000.0,2 years,B,MORTGAGE,other,Current,Mar-2018
25000,6.71,125000.0,,A,MORTGAGE,home_improvement,Current,Mar-2018
40000,11.99,59000.0,3 years,B,RENT,other,Current,Oct-2017
25000,14.31,65000.0,10+ years,C,RENT,credit_card,Fully Paid,Jan-2015
9000,9.93,65000.0,10+ years,B,RENT,credit_card,Fully Paid,Sep-2017
4800,14.99,54000.0,10+ years,C,MORTGAGE,credit_card,Fully Paid,Feb-2017
24000,10.9,54500.0,3 years,B,RENT,debt_consolidation,Current,May-2018
12000,11.99,45000.0,10+ years,C,RENT,debt_consolidation,Fully Paid,Feb-2016
20000,10.08,120000.0,10+ years,B,MORTGAGE,debt_consolidation,Current,Aug-2018
40000,13.56,300000.0,10+ years,C,MORTGAGE,debt_consolidation,Current,Dec-2018
1200,12.69,36000.0,< 1 year,C,RENT,major_purchase,Fully Paid,Oct-2015
18200,25.82,50000.0,7 years,E,MORTGAGE,home_improvement,Fully Paid,Jul-2017
3000,11.47,17000.0,2 years,B,OWN,other,Fully Paid,Mar-2016
4200,7.97,38000.0,10+ years,A,MORTGAGE,major_purchase,Current,Feb-2018
12000,10.74,73000.0,4 years,B,MORTGAGE,debt_consolidation,Fully Paid,Feb-2012
18000,10.42,90000.0,9 years,B,RENT,debt_consolidation,Current,Nov-2017
10000,6.72,100000.0,3 years,A,RENT,credit_card,Current,Dec-2017
40000,16.14,145000.0,3 years,C,MORTGAGE,home_improvement,Current,Aug-2018
30000,15.31,70000.0,2 years,C,RENT,debt_consolidation,Charged Off,Mar-2016
4800,10.42,62000.0,9 years,B,OWN,other,Current,Aug-2017
9500,18.99,42000.0,6 years,D,RENT,other,Current,May-2017
8325,15.1,25000.0,10+ years,C,RENT,other,Fully Paid,Nov-2013
11000,13.98,53000.0,7 years,C,MORTGAGE,debt_consolidation,Charged Off,Oct-2014
4600,11.05,32000.0,10+ years,B,OWN,other,Current,Jun-2018
12500,10.99,38000.0,< 1 year,B,MORTGAGE,debt_consolidation,Fully Paid,Oct-2015
21000,11.99,105000.0,< 1 year,B,MORTGAGE,debt_consolidation,Fully Paid,Nov-2013
10200,7.97,83000.0,10+ years,A,MORTGAGE,credit_card,Current,Dec-2017
16900,17.57,38500.0,< 1 year,D,OWN,debt_consolidation,Fully Paid,Jul-2014
3850,22.39,76000.0,,E,OWN,home_improvement,Charged Off,Jun-2016
9000,7.9,80000.0,10+ years,A,MORTGAGE,credit_card,Fully Paid,Jan-2013
10000,22.9,123000.0,3 years,E,RENT,credit_card,Current,Mar-2018
5000,7.39,42000.0,8 years,A,RENT,other,Current,May-2016
12000,11.44,75000.0,2 years,B,MORTGAGE,credit_card,Current,May-2017
5000,10.47,30000.0,,B,MORTGAGE,other,Current,Oct-2018
10000,5.32,60000.0,6 years,A,RENT,debt_consolidation,Fully Paid,Jan-2016
8700,11.99,27000.0,10+ years,C,RENT,credit_card,Current,Jun-2016
12000,21.85,85000.0,10+ years,D,MORTGAGE,debt_consolidation,Current,Apr-2018
10850,13.99,59000.0,2 years,C,MORTGAGE,debt_consolidation,Fully Paid,Aug-2015
15950,13.49,173000.0,2 years,C,OWN,major_purchase,Current,Oct-2016
24000,12.99,65000.0,3 years,C,MORTGAGE,debt_consolidation,Fully Paid,Oct-2014
5000,10.42,44200.0,,B,MORTGAGE,other,Fully Paid,Aug-2017
10725,7.21,70000.0,1 year,A,OWN,debt_consolidation,Current,Nov-2018
6025,10.91,17000.0,,B,RENT,moving,Late (31-120 days),Jun-2017
25000,6.11,51250.0,< 1 year,A,RENT,credit_card,Current,Aug-2018
9000,22.35,37000.0,3 years,D,MORTGAGE,debt_consolidation,Current,Sep-2018
23800,7.97,140000.0,5 years,A,MORTGAGE,home_improvement,Charged Off,Jul-2017
5000,9.99,19000.0,< 1 year,B,MORTGAGE,credit_card,Fully Paid,Dec-2015
10000,11.39,44208.0,10+ years,B,MORTGAGE,debt_consolidation,Current,Dec-2016
35000,16.46,72000.0,5 years,C,MORTGAGE,credit_card,Late (16-30 days),Jun-2018
12000,18.99,93000.0,10+ years,D,RENT,debt_consolidation,Charged Off,Apr-2016
20000,9.17,63000.0,7 years,B,MORTGAGE,credit_card,Current,Jul-2015
2500,15.04,84000.0,5 years,C,MORTGAGE,home_improvement,Current,Apr-2018
11000,5.32,52704.0,9 years,A,MORTGAGE,credit_card,Current,Jan-2017
10450,16.99,23800.0,4 years,D,RENT,car,Fully Paid,Sep-2015
18000,7.02,67000.0,< 1 year,A,RENT,debt_consolidation,Current,Dec-2018
40000,29.69,99219.0,10+ years,F,RENT,debt_consolidation,Current,Jul-2018
6725,8.9,55000.0,9 years,A,MORTGAGE,debt_consolidation,Fully Paid,Mar-2013
15000,7.99,75000.0,5 years,A,MORTGAGE,debt_consolidation,Current,Jan-2017
10000,9.75,36000.0,10+ years,B,MORTGAGE,debt_consolidation,Current,Apr-2016
3975,21.67,12000.0,6 years,E,RENT,other,Fully Paid,Mar-2015
21000,16.14,64000.0,3 years,C,OWN,debt_consolidation,Current,Sep-2018
7350,14.16,23000.0,,C,RENT,credit_card,Fully Paid,Apr-2014
5500,11.39,63000.0,10+ years,B,MORTGAGE,credit_card,Current,Apr-2017
18000,14.08,52000.0,3 years,C,RENT,debt_consolidation,Current,Sep-2017
21000,19.03,95000.0,4 years,D,MORTGAGE,credit_card,Current,Nov-2017
10000,15.02,70000.0,10+ years,C,MORTGAGE,home_improvement,Current,Aug-2018
20000,7.62,70000.0,< 1 year,A,RENT,debt_consolidation,Fully Paid,Jan-2014
7000,7.9,32000.0,10+ years,A,MORTGAGE,debt_consolidation,Fully Paid,Sep-2012
25000,6.68,56568.0,9 years,A,RENT,debt_consolidation,Fully Paid,May-2015
16000,14.52,85000.0,3 years,C,RENT,credit_card,Current,Jun-2018
13225,14.3,45000.0,10+ years,C,RENT,debt_consolidation,Fully Paid,Oct-2013
34500,12.73,130000.0,3 years,B,MORTGAGE,debt_consolidation,Current,Sep-2018
3000,16.55,40000.0,10+ years,D,RENT,other,Charged Off,Dec-2015
6000,8.59,41000.0,3 years,A,RENT,debt_consolidation,Fully Paid,Oct-2016
21000,24.84,26000.0,< 1 year,E,MORTGAGE,other,Current,Apr-2018
3000,14.09,109000.0,4 years,B,RENT,small_business,Fully Paid,Dec-2012
29975,16.99,65390.0,10+ years,D,MORTGAGE,debt_consolidation,Fully Paid,Oct-2014
10000,10.99,50000.0,2 years,B,RENT,debt_consolidation,Fully Paid,Oct-2013
35000,11.99,76358.0,10+ years,B,MORTGAGE,debt_consolidation,Fully Paid,Jan-2015
12000,11.99,70000.0,10+ years,B,RENT,debt_consolidation,Fully Paid,Feb-2014
15000,18.06,117300.0,10+ years,D,RENT,debt_consolidation,Late (31-120 days),May-2017
35000,25.82,120000.0,2 years,E,RENT,debt_consolidation,Late (16-30 days),Jul-2017
25000,12.61,100000.0,4 years,C,RENT,debt_consolidation,Current,Apr-2018
26400,16.55,75000.0,4 years,D,MORTGAGE,debt_consolidation,Fully Paid,Jul-2015
12000,6.49,95000.0,5 years,A,MORTGAGE,home_improvement,Current,Mar-2016
6825,16.99,65000.0,2 years,D,MORTGAGE,debt_consolidation,Fully Paid,Nov-2015
9950,8.99,45000.0,3 years,B,MORTGAGE,credit_card,Fully Paid,Jul-2016
6000,16.91,60000.0,3 years,C,MORTGAGE,debt_consolidation,Current,Oct-2018
4000,12.59,40000.0,2 years,C,RENT,debt_consolidation,Fully Paid,Dec-2015
13850,25.99,47000.0,8 years,F,MORTGAGE,debt_consolidation,Charged Off,Dec-2015
12000,24.49,95000.0,10+ years,E,MORTGAGE,debt_consolidation,Fully Paid,Aug-2016
20000,7.39,150000.0,10+ years,A,OWN,debt_consolidation,Charged Off,Mar-2016
18000,13.66,50000.0,,C,RENT,debt_consolidation,Charged Off,Nov-2014
1500,12.59,49500.0,3 years,C,RENT,house,Fully Paid,Dec-2015
11200,7.35,65000.0,10+ years,A,MORTGAGE,home_improvement,Current,Nov-2017
12000,16.99,74000.0,10+ years,D,OWN,credit_card,Fully Paid,Apr-2017
28000,15.99,65000.0,7 years,C,RENT,debt_consolidation,Charged Off,Dec-2016
5000,13.59,33000.0,10+ years,C,MORTGAGE,credit_card,Current,Aug-2017
32000,26.14,95000.0,3 years,F,RENT,home_improvement,Charged Off,Jun-2016
12000,7.26,60000.0,6 years,A,RENT,debt_consolidation,Fully Paid,Aug-2015
25000,9.17,75000.0,10+ years,B,OWN,debt_consolidation,Fully Paid,Sep-2015
5500,10.99,46000.0,10+ years,B,RENT,debt_consolidation,Charged Off,Jan-2014
12000,7.26,150223.0,,A,MORTGAGE,debt_consolidation,Fully Paid,May-2015
24000,9.99,135000.0,2 years,B,MORTGAGE,debt_consolidation,Current,Aug-2015
7000,6.89,25000.0,8 years,A,MORTGAGE,debt_consolidation,Fully Paid,Aug-2015
6000,11.49,62000.0,10+ years,B,MORTGAGE,debt_consolidation,Fully Paid,Oct-2016
28000,16.99,82000.0,10+ years,D,OWN,debt_consolidation,Charged Off,Aug-2016
30000,22.9,70250.0,10+ years,E,RENT,credit_card,Current,Jun-2018
15000,18.94,74000.0,3 years,D,MORTGAGE,other,Current,Aug-2018
10000,18.94,90000.0,3 years,D,RENT,debt_consolidation,Current,Jul-2018
8000,5.32,87000.0,6 years,A,OWN,debt_consolidation,Fully Paid,Apr-2016
5000,13.06,50000.0,10+ years,C,OWN,credit_card,Current,Jun-2018
34125,13.49,68289.0,10+ years,C,MORTGAGE,debt_consolidation,Charged Off,Aug-2016
15000,8.19,52000.0,4 years,A,RENT,debt_consolidation,Fully Paid,Jan-2015
18000,11.67,75000.0,10+ years,B,MORTGAGE,credit_card,Current,Oct-2014
8000,6.24,68000.0,9 years,A,MORTGAGE,home_improvement,Fully Paid,Jul-2015
4000,7.21,49000.0,10+ years,A,MORTGAGE,home_improvement,Fully Paid,Jul-2017
7200,14.08,42000.0,9 years,C,RENT,debt_consolidation,Current,Jul-2017
12000,8.39,60000.0,3 years,B,MORTGAGE,debt_consolidation,Fully Paid,Mar-2016
20000,18.25,120000.0,6 years,F,MORTGAGE,debt_consolidation,Fully Paid,Mar-2011
15000,9.99,120000.0,4 years,B,MORTGAGE,debt_consolidation,Charged Off,Nov-2015
22400,23.13,70000.0,10+ years,F,MORTGAGE,debt_consolidation,Current,Mar-2016
1500,9.17,55000.0,10+ years,B,RENT,debt_consolidation,Fully Paid,Jan-2016
24000,5.32,75000.0,10+ years,A,MORTGAGE,debt_consolidation,Fully Paid,Oct-2015
5000,12.62,34554.6,,C,MORTGAGE,debt_consolidation,Current,Aug-2017
2800,13.44,80000.0,5 years,C,RENT,medical,Fully Paid,Dec-2015
40000,5.31,230000.0,10+ years,A,MORTGAGE,debt_consolidation,Current,Jun-2018
20000,15.99,120000.0,8 years,C,OWN,home_improvement,Fully Paid,Nov-2016
16100,13.99,92000.0,10+ years,C,RENT,credit_card,Current,Mar-2017
35000,17.99,85000.0,9 years,D,MORTGAGE,home_improvement,Current,Jul-2016
12000,13.99,50000.0,4 years,C,OWN,debt_consolidation,Fully Paid,Mar-2012
6000,20.89,59800.0,10+ years,D,RENT,major_purchase,Current,Oct-2018
6500,13.49,85000.0,2 years,C,RENT,credit_card,Charged Off,Jan-2017
18000,14.47,319000.0,10+ years,C,MORTGAGE,debt_consolidation,Current,Nov-2018
13350,21.18,37100.0,5 years,E,RENT,debt_consolidation,Fully Paid,Feb-2016
15000,10.99,95000.0,10+ years,B,MORTGAGE,credit_card,Fully Paid,Mar-2015
8000,9.16,55000.0,10+ years,B,RENT,other,Fully Paid,May-2016
9100,14.65,80000.0,10+ years,C,OWN,debt_consolidation,Fully Paid,Jul-2015
14400,12.99,49000.0,8 years,C,RENT,debt_consolidation,Fully Paid,Mar-2016
4000,15.02,36000.0,,C,RENT,debt_consolidation,Current,Aug-2018
8400,10.99,35000.0,6 years,B,RENT,debt_consolidation,Fully Paid,May-2014
24000,18.25,77000.0,10+ years,D,MORTGAGE,debt_consolidation,Charged Off,Dec-2013
3250,21.0,11000.0,,E,OWN,debt_consolidation,Fully Paid,Jan-2013
32000,6.11,130000.0,10+ years,A,RENT,credit_card,Current,Jul-2018
5000,6.99,101940.0,3 years,A,RENT,car,Current,Dec-2016
22400,19.99,95000.0,10+ years,D,MORTGAGE,debt_consolidation,Current,Jan-2017
20000,7.89,111000.0,10+ years,A,MORTGAGE,debt_consolidation,Fully Paid,Jun-2016
9000,10.99,71120.0,4 years,B,RENT,credit_card,Fully Paid,Nov-2015
30000,6.08,200000.0,10+ years,A,OWN,small_business,Fully Paid,Dec-2017
5000,5.32,100000.0,10+ years,A,MORTGAGE,debt_consolidation,Current,Oct-2017
24000,7.97,85416.0,< 1 year,A,MORTGAGE,debt_consolidation,Current,Sep-2017
12000,8.19,78000.0,2 years,A,OWN,credit_card,Fully Paid,Feb-2015
9000,10.99,55000.0,2 years,B,MORTGAGE,debt_consolidation,Fully Paid,May-2014
1200,16.02,55000.0,< 1 year,C,RENT,moving,Fully Paid,Sep-2017
10000,15.61,31500.0,2 years,D,RENT,debt_consolidation,Fully Paid,Apr-2015
10000,14.99,180000.0,3 years,C,MORTGAGE,major_purchase,Current,Jan-2017
21000,15.04,47000.0,10+ years,C,MORTGAGE,debt_consolidation,Charged Off,Mar-2018
10000,10.75,64000.0,3 years,B,OWN,debt_consolidation,Fully Paid,Jun-2016
15000,18.25,42000.0,6 years,D,MORTGAGE,debt_consolidation,Fully Paid,Mar-2014
9400,13.98,45000.0,< 1 year,C,MORTGAGE,debt_consolidation,Fully Paid,Oct-2014
24000,14.99,54800.0,10+ years,C,MORTGAGE,debt_consolidation,Fully Paid,Aug-2014
22000,11.31,91000.0,5 years,B,OWN,debt_consolidation,Current,Nov-2018
12000,11.99,58800.0,10+ years,B,MORTGAGE,debt_consolidation,Charged Off,Jan-2015
1000,16.99,25224.0,,D,RENT,medical,Charged Off,Oct-2015
10000,12.05,50000.0,7 years,C,MORTGAGE,debt_consolidation,Fully Paid,Nov-2015
24000,11.99,167000.0,4 years,C,MORTGAGE,home_improvement,Current,Mar-2016
5000,12.99,214000.0,7 years,C,MORTGAGE,credit_card,Fully Paid,Feb-2016
7475,18.99,58711.0,9 years,E,MORTGAGE,debt_consolidation,Charged Off,Dec-2015
20000,16.99,105000.0,7 years,D,RENT,debt_consolidation,Charged Off,Aug-2014
6325,10.49,27000.0,6 years,B,RENT,debt_consolidation,Current,Jul-2016
17000,16.29,62000.0,5 years,D,RENT,debt_consolidation,Fully Paid,Mar-2016
23550,16.99,65000.0,10+ years,D,MORTGAGE,debt_consolidation,Charged Off,Jul-2015
5000,9.99,35000.0,7 years,B,RENT,debt_consolidation,Fully Paid,Jul-2015
6000,22.15,120000.0,8 years,E,MORTGAGE,medical,Fully Paid,Sep-2014
33275,14.33,75000.0,10+ years,C,MORTGAGE,debt_consolidation,Fully Paid,Nov-2015
32000,10.99,115000.0,9 years,B,RENT,debt_consolidation,Fully Paid,Mar-2015
30000,18.99,82000.0,10+ years,D,RENT,renewable_energy,Fully Paid,Feb-2016
35000,26.24,125000.0,8 years,E,RENT,other,Fully Paid,May-2017
10750,15.05,45000.0,10+ years,C,MORTGAGE,debt_consolidation,Current,Jul-2017
12000,7.89,92000.0,10+ years,A,OWN,home_improvement,Fully Paid,Aug-2015
24000,6.97,50000.0,< 1 year,A,RENT,debt_consolidation,Fully Paid,Mar-2016
9000,12.12,75000.0,< 1 year,B,RENT,moving,Fully Paid,Jul-2012
6800,13.59,18912.0,,C,RENT,debt_consolidation,Current,Sep-2017
21000,15.59,90000.0,1 year,D,MORTGAGE,debt_consolidation,Fully Paid,Nov-2014
23000,13.99,53024.0,5 years,C,RENT,debt_consolidation,Current,Jun-2016
20750,20.89,60000.0,< 1 year,D,MORTGAGE,credit_card,Current,Oct-2018
5000,11.49,83000.0,1 year,B,RENT,moving,Fully Paid,Jun-2016
8000,11.99,60000.0,10+ years,C,MORTGAGE,credit_card,Charged Off,Dec-2015
8000,8.67,128000.0,3 years,B,MORTGAGE,debt_consolidation,Fully Paid,Dec-2014
10000,9.44,50000.0,< 1 year,B,RENT,debt_consolidation,Current,Nov-2017
5500,10.99,55500.0,2 years,B,RENT,debt_consolidation,Fully Paid,May-2014
28000,10.99,235000.0,5 years,B,MORTGAGE,credit_card,Fully Paid,Aug-2016
3500,14.99,27156.0,< 1 year,C,RENT,debt_consolidation,Current,Mar-2017
12000,13.53,95000.0,3 years,B,MORTGAGE,debt_consolidation,Fully Paid,Jan-2014
35000,15.61,100000.0,10+ years,D,MORTGAGE,debt_consolidation,Fully Paid,Oct-2015
21500,13.11,50000.0,7 years,B,MORTGAGE,debt_consolidation,Fully Paid,Mar-2013
10000,7.56,65000.0,10+ years,A,RENT,home_improvement,Current,Dec-2018
23325,11.14,52213.0,,B,OWN,credit_card,Fully Paid,Jun-2013
4200,11.39,63000.0,< 1 year,B,MORTGAGE,debt_consolidation,Current,Oct-2016
35000,16.99,98000.0,10+ years,D,RENT,debt_consolidation,Fully Paid,Oct-2014
6500,18.25,48000.0,3 years,E,RENT,debt_consolidation,Fully Paid,Jul-2015
18000,7.56,73000.0,3 years,A,RENT,debt_consolidation,Current,Nov-2018
12375,15.8,54000.0,10+ years,C,RENT,house,Fully Paid,Jan-2013
40000,12.62,89753.0,10+ years,C,RENT,other,Current,Feb-2018
14700,21.67,46000.0,3 years,E,OWN,house,Charged Off,Feb-2015
6075,19.05,23128.0,2 years,D,RENT,other,Fully Paid,Jun-2013
10000,11.06,32000.0,1 year,B,RENT,debt_consolidation,Current,Aug-2018
