loan_amnt,int_rate,annual_inc,emp_length,grade,home_ownership,purpose,loan_status,issue_d,dti
12000,15.88,88000.0,3,C,RENT,debt_consolidation,non_default,2013-08-01,23.74
6500,10.49,69500.0,10,B,MORTGAGE,car,non_default,2016-08-01,9.54
25000,25.57,79000.0,10,F,RENT,debt_consolidation,default,2015-02-01,17.47
25000,12.74,80000.0,10,C,RENT,debt_consolidation,non_default,2017-03-01,21.9
4400,11.39,55000.0,10,B,MORTGAGE,credit_card,non_default,2016-12-01,13.05
10000,19.72,50000.0,4,D,RENT,debt_consolidation,non_default,2012-09-01,25.51
15000,10.49,38200.0,Unknown,B,MORTGAGE,home_improvement,non_default,2017-03-01,28.34
6225,16.99,70000.0,10,D,RENT,house,non_default,2014-10-01,13.96
2975,18.49,25000.0,4,E,RENT,debt_consolidation,non_default,2015-11-01,16.61
10000,14.46,66000.0,10,C,MORTGAGE,debt_consolidation,non_default,2016-04-01,21.53
19375,16.99,50326.0,10,D,MORTGAGE,credit_card,default,2015-02-01,36.99
20000,6.49,105000.0,7,A,MORTGAGE,home_improvement,non_default,2016-02-01,23.61
23000,12.85,110000.0,10,B,MORTGAGE,debt_consolidation,non_default,2014-01-01,21.42
5000,11.99,90000.0,10,C,MORTGAGE,vacation,non_default,2016-02-01,29.17
18000,15.99,40000.0,3,C,MORTGAGE,debt_consolidation,default,2017-03-01,22.62
16000,7.49,106000.0,10,A,RENT,debt_consolidation,non_default,2014-11-01,17.47
18000,10.99,116000.0,3,B,MORTGAGE,credit_card,non_default,2014-04-01,10.44
40000,15.99,83000.0,10,C,MORTGAGE,debt_consolidation,non_default,2016-11-01,10.66
5025,23.99,75000.0,10,E,MORTGAGE,debt_consolidation,non_default,2016-05-01,16.82
10000,8.19,46300.0,10,A,MORTGAGE,debt_consolidation,non_default,2015-01-01,25.58
16000,11.53,42000.0,10,B,RENT,debt_consolidation,non_default,2015-03-01,16.37
25000,14.31,65000.0,10,C,RENT,credit_card,non_default,2015-01-01,17.82
9000,9.93,65000.0,10,B,RENT,credit_card,non_default,2017-09-01,20.22
4800,14.99,54000.0,10,C,MORTGAGE,credit_card,non_default,2017-02-01,19.39
12000,11.99,45000.0,10,C,RENT,debt_consolidation,non_default,2016-02-01,27.44
1200,12.69,36000.0,0,C,RENT,major_purchase,non_default,2015-10-01,25.83
18200,25.82,50000.0,7,E,MORTGAGE,home_improvement,non_default,2017-07-01,21.22
3000,11.47,17000.0,2,B,OWN,other,non_default,2016-03-01,4.59
12000,10.74,73000.0,4,B,MORTGAGE,debt_consolidation,non_default,2012-02-01,11.92
30000,15.31,70000.0,2,C,RENT,debt_consolidation,default,2016-03-01,14.79
8325,15.1,25000.0,10,C,RENT,other,non_default,2013-11-01,19.73
11000,13.98,53000.0,7,C,MORTGAGE,debt_consolidation,default,2014-10-01,24.76
12500,10.99,38000.0,0,B,MORTGAGE,debt_consolidation,non_default,2015-10-01,27.51
21000,11.99,105000.0,0,B,MORTGAGE,debt_consolidation,non_default,2013-11-01,27.1
16900,17.57,38500.0,0,D,OWN,debt_consolidation,non_default,2014-07-01,26.82
3850,22.39,76000.0,Unknown,E,OWN,home_improvement,default,2016-06-01,16.53
9000,7.9,80000.0,10,A,MORTGAGE,credit_card,non_default,2013-01-01,23.66
10000,5.32,60000.0,6,A,RENT,debt_consolidation,non_default,2016-01-01,15.0
10850,13.99,59000.0,2,C,MORTGAGE,debt_consolidation,non_default,2015-08-01,20.69
24000,12.99,65000.0,3,C,MORTGAGE,debt_consolidation,non_default,2014-10-01,19.5
5000,10.42,44200.0,Unknown,B,MORTGAGE,other,non_default,2017-08-01,19.52
23800,7.97,140000.0,5,A,MORTGAGE,home_improvement,default,2017-07-01,9.86
5000,9.99,19000.0,0,B,MORTGAGE,credit_card,non_default,2015-12-01,8.46
12000,18.99,93000.0,10,D,RENT,debt_consolidation,default,2016-04-01,23.65
10450,16.99,23800.0,4,D,RENT,car,non_default,2015-09-01,37.47
6725,8.9,55000.0,9,A,MORTGAGE,debt_consolidation,non_default,2013-03-01,18.7
3975,21.67,12000.0,6,E,RENT,other,non_default,2015-03-01,14.4
7350,14.16,23000.0,Unknown,C,RENT,credit_card,non_default,2014-04-01,17.33
20000,7.62,70000.0,0,A,RENT,debt_consolidation,non_default,2014-01-01,21.68
7000,7.9,32000.0,10,A,MORTGAGE,debt_consolidation,non_default,2012-09-01,19.95
25000,6.68,56568.0,9,A,RENT,debt_consolidation,non_default,2015-05-01,17.52
13225,14.3,45000.0,10,C,RENT,debt_consolidation,non_default,2013-10-01,12.0
3000,16.55,40000.0,10,D,RENT,other,default,2015-12-01,25.44
6000,8.59,41000.0,3,A,RENT,debt_consolidation,non_default,2016-10-01,16.25
3000,14.09,109000.0,4,B,RENT,small_business,non_default,2012-12-01,9.03
29975,16.99,65390.0,10,D,MORTGAGE,debt_consolidation,non_default,2014-10-01,24.9
10000,10.99,50000.0,2,B,RENT,debt_consolidation,non_default,2013-10-01,9.77
35000,11.99,76358.0,10,B,MORTGAGE,debt_consolidation,non_default,2015-01-01,3.16
12000,11.99,70000.0,10,B,RENT,debt_consolidation,non_default,2014-02-01,26.11
26400,16.55,75000.0,4,D,MORTGAGE,debt_consolidation,non_default,2015-07-01,17.54
6825,16.99,65000.0,2,D,MORTGAGE,debt_consolidation,non_default,2015-11-01,19.07
9950,8.99,45000.0,3,B,MORTGAGE,credit_card,non_default,2016-07-01,10.61
4000,12.59,40000.0,2,C,RENT,debt_consolidation,non_default,2015-12-01,25.89
13850,25.99,47000.0,8,F,MORTGAGE,debt_consolidation,default,2015-12-01,32.69
12000,24.49,95000.0,10,E,MORTGAGE,debt_consolidation,non_default,2016-08-01,5.02
20000,7.39,150000.0,10,A,OWN,debt_consolidation,default,2016-03-01,12.64
18000,13.66,50000.0,Unknown,C,RENT,debt_consolidation,default,2014-11-01,31.97
1500,12.59,49500.0,3,C,RENT,house,non_default,2015-12-01,31.61
12000,16.99,74000.0,10,D,OWN,credit_card,non_default,2017-04-01,19.32
28000,15.99,65000.0,7,C,RENT,debt_consolidation,default,2016-12-01,7.88
32000,26.14,95000.0,3,F,RENT,home_improvement,default,2016-06-01,29.54
12000,7.26,60000.0,6,A,RENT,debt_consolidation,non_default,2015-08-01,10.66
25000,9.17,75000.0,10,B,OWN,debt_consolidation,non_default,2015-09-01,19.49
5500,10.99,46000.0,10,B,RENT,debt_consolidation,default,2014-01-01,23.27
12000,7.26,150223.0,Unknown,A,MORTGAGE,debt_consolidation,non_default,2015-05-01,11.06
7000,6.89,25000.0,8,A,MORTGAGE,debt_consolidation,non_default,2015-08-01,25.88
6000,11.49,62000.0,10,B,MORTGAGE,debt_consolidation,non_default,2016-10-01,18.83
28000,16.99,82000.0,10,D,OWN,debt_consolidation,default,2016-08-01,11.93
8000,5.32,87000.0,6,A,OWN,debt_consolidation,non_default,2016-04-01,7.71
34125,13.49,68289.0,10,C,MORTGAGE,debt_consolidation,default,2016-08-01,27.4
15000,8.19,52000.0,4,A,RENT,debt_consolidation,non_default,2015-01-01,7.94
8000,6.24,68000.0,9,A,MORTGAGE,home_improvement,non_default,2015-07-01,7.59
4000,7.21,49000.0,10,A,MORTGAGE,home_improvement,non_default,2017-07-01,2.99
12000,8.39,60000.0,3,B,MORTGAGE,debt_consolidation,non_default,2016-03-01,17.42
20000,18.25,120000.0,6,F,MORTGAGE,debt_consolidation,non_default,2011-03-01,22.41
15000,9.99,120000.0,4,B,MORTGAGE,debt_consolidation,default,2015-11-01,2.97
1500,9.17,55000.0,10,B,RENT,debt_consolidation,non_default,2016-01-01,12.39
24000,5.32,75000.0,10,A,MORTGAGE,debt_consolidation,non_default,2015-10-01,16.77
2800,13.44,80000.0,5,C,RENT,medical,non_default,2015-12-01,18.51
20000,15.99,120000.0,8,C,OWN,home_improvement,non_default,2016-11-01,16.28
12000,13.99,50000.0,4,C,OWN,debt_consolidation,non_default,2012-03-01,20.18
6500,13.49,85000.0,2,C,RENT,credit_card,default,2017-01-01,14.12
13350,21.18,37100.0,5,E,RENT,debt_consolidation,non_default,2016-02-01,41.54
15000,10.99,95000.0,10,B,MORTGAGE,credit_card,non_default,2015-03-01,15.66
8000,9.16,55000.0,10,B,RENT,other,non_default,2016-05-01,33.91
9100,14.65,80000.0,10,C,OWN,debt_consolidation,non_default,2015-07-01,26.34
14400,12.99,49000.0,8,C,RENT,debt_consolidation,non_default,2016-03-01,28.34
8400,10.99,35000.0,6,B,RENT,debt_consolidation,non_default,2014-05-01,4.73
24000,18.25,77000.0,10,D,MORTGAGE,debt_consolidation,default,2013-12-01,25.58
3250,21.0,11000.0,Unknown,E,OWN,debt_consolidation,non_default,2013-01-01,17.02
20000,7.89,111000.0,10,A,MORTGAGE,debt_consolidation,non_default,2016-06-01,12.37
9000,10.99,71120.0,4,B,RENT,credit_card,non_default,2015-11-01,17.89
30000,6.08,200000.0,10,A,OWN,small_business,non_default,2017-12-01,3.11
12000,8.19,78000.0,2,A,OWN,credit_card,non_default,2015-02-01,33.38
9000,10.99,55000.0,2,B,MORTGAGE,debt_consolidation,non_default,2014-05-01,10.54
1200,16.02,55000.0,0,C,RENT,moving,non_default,2017-09-01,15.93
10000,15.61,31500.0,2,D,RENT,debt_consolidation,non_default,2015-04-01,18.82
21000,15.04,47000.0,10,C,MORTGAGE,debt_consolidation,default,2018-03-01,31.84
10000,10.75,64000.0,3,B,OWN,debt_consolidation,non_default,2016-06-01,29.53
15000,18.25,42000.0,6,D,MORTGAGE,debt_consolidation,non_default,2014-03-01,11.83
9400,13.98,45000.0,0,C,MORTGAGE,debt_consolidation,non_default,2014-10-01,18.11
24000,14.99,54800.0,10,C,MORTGAGE,debt_consolidation,non_default,2014-08-01,33.11
12000,11.99,58800.0,10,B,MORTGAGE,debt_consolidation,default,2015-01-01,29.51
1000,16.99,25224.0,Unknown,D,RENT,medical,default,2015-10-01,23.67
10000,12.05,50000.0,7,C,MORTGAGE,debt_consolidation,non_default,2015-11-01,14.69
5000,12.99,214000.0,7,C,MORTGAGE,credit_card,non_default,2016-02-01,8.65
7475,18.99,58711.0,9,E,MORTGAGE,debt_consolidation,default,2015-12-01,23.75
20000,16.99,105000.0,7,D,RENT,debt_consolidation,default,2014-08-01,18.83
17000,16.29,62000.0,5,D,RENT,debt_consolidation,non_default,2016-03-01,5.52
23550,16.99,65000.0,10,D,MORTGAGE,debt_consolidation,default,2015-07-01,13.79
5000,9.99,35000.0,7,B,RENT,debt_consolidation,non_default,2015-07-01,28.36
6000,22.15,120000.0,8,E,MORTGAGE,medical,non_default,2014-09-01,15.05
33275,14.33,75000.0,10,C,MORTGAGE,debt_consolidation,non_default,2015-11-01,28.66
32000,10.99,115000.0,9,B,RENT,debt_consolidation,non_default,2015-03-01,14.99
30000,18.99,82000.0,10,D,RENT,renewable_energy,non_default,2016-02-01,39.48
35000,26.24,125000.0,8,E,RENT,other,non_default,2017-05-01,15.41
12000,7.89,92000.0,10,A,OWN,home_improvement,non_default,2015-08-01,22.7
24000,6.97,50000.0,0,A,RENT,debt_consolidation,non_default,2016-03-01,19.05
9000,12.12,75000.0,0,B,RENT,moving,non_default,2012-07-01,6.59
21000,15.59,90000.0,1,D,MORTGAGE,debt_consolidation,non_default,2014-11-01,19.57
5000,11.49,83000.0,1,B,RENT,moving,non_default,2016-06-01,6.37
8000,11.99,60000.0,10,C,MORTGAGE,credit_card,default,2015-12-01,23.78
8000,8.67,128000.0,3,B,MORTGAGE,debt_consolidation,non_default,2014-12-01,4.38
5500,10.99,55500.0,2,B,RENT,debt_consolidation,non_default,2014-05-01,24.86
28000,10.99,235000.0,5,B,MORTGAGE,credit_card,non_default,2016-08-01,23.32
12000,13.53,95000.0,3,B,MORTGAGE,debt_consolidation,non_default,2014-01-01,22.63
35000,15.61,100000.0,10,D,MORTGAGE,debt_consolidation,non_default,2015-10-01,22.22
21500,13.11,50000.0,7,B,MORTGAGE,debt_consolidation,non_default,2013-03-01,20.04
23325,11.14,52213.0,Unknown,B,OWN,credit_card,non_default,2013-06-01,20.42
35000,16.99,98000.0,10,D,RENT,debt_consolidation,non_default,2014-10-01,31.55
6500,18.25,48000.0,3,E,RENT,debt_consolidation,non_default,2015-07-01,33.9
12375,15.8,54000.0,10,C,RENT,house,non_default,2013-01-01,15.58
14700,21.67,46000.0,3,E,OWN,house,default,2015-02-01,28.15
6075,19.05,23128.0,2,D,RENT,other,non_default,2013-06-01,15.2
33025,19.89,140000.0,2,E,RENT,debt_consolidation,default,2016-01-01,6.57
19225,14.65,46511.91,5,C,MORTGAGE,credit_card,non_default,2015-07-01,32.71
12000,14.99,55000.0,10,C,MORTGAGE,car,non_default,2017-01-01,21.21
19600,9.99,46480.0,1,B,RENT,credit_card,default,2015-11-01,15.39
11200,8.24,54000.0,3,B,OWN,credit_card,default,2017-03-01,16.47
35000,19.03,200000.0,6,E,RENT,debt_consolidation,non_default,2011-12-01,4.18
2400,18.92,40000.0,4,D,OWN,car,non_default,2014-04-01,17.45
15150,17.99,60000.0,10,D,MORTGAGE,debt_consolidation,non_default,2016-12-01,25.8
12375,7.9,53124.0,Unknown,A,MORTGAGE,debt_consolidation,non_default,2013-07-01,33.94
21000,13.05,93000.0,10,B,RENT,debt_consolidation,non_default,2013-07-01,17.48
20000,7.96,167000.0,10,A,MORTGAGE,other,default,2018-03-01,21.67
12000,11.48,95000.0,8,B,RENT,credit_card,non_default,2016-01-01,15.59
35000,20.99,90000.0,10,E,MORTGAGE,debt_consolidation,non_default,2016-06-01,25.89
11200,11.48,60000.0,4,B,MORTGAGE,credit_card,non_default,2015-12-01,18.94
10800,8.9,57000.0,Unknown,A,OWN,credit_card,non_default,2014-04-01,2.74
10000,14.99,160000.0,10,C,MORTGAGE,other,non_default,2016-11-01,2.36
29400,16.59,70000.0,2,D,RENT,credit_card,default,2016-02-01,9.97
14400,12.35,100000.0,0,B,RENT,debt_consolidation,default,2013-07-01,5.4
35000,19.19,120000.0,1,E,MORTGAGE,debt_consolidation,non_default,2015-07-01,24.01
12000,12.61,131000.0,10,C,MORTGAGE,debt_consolidation,non_default,2018-02-01,15.99
10000,11.99,52000.0,2,B,MORTGAGE,debt_consolidation,non_default,2015-01-01,18.1
20800,14.99,70000.0,1,C,MORTGAGE,debt_consolidation,non_default,2017-03-01,25.01
8000,14.49,172000.0,8,C,MORTGAGE,debt_consolidation,non_default,2016-07-01,12.5
14075,17.86,45000.0,8,D,RENT,debt_consolidation,default,2015-01-01,34.48
18000,6.71,52000.0,10,A,MORTGAGE,debt_consolidation,non_default,2018-04-01,15.76
14000,15.99,80000.0,10,C,RENT,debt_consolidation,default,2017-01-01,29.06
7000,19.99,22000.0,3,E,OWN,home_improvement,non_default,2014-03-01,20.79
4000,11.98,44000.0,10,B,RENT,debt_consolidation,non_default,2018-03-01,10.53
6400,10.74,180000.0,2,B,MORTGAGE,debt_consolidation,non_default,2012-06-01,7.25
21000,12.29,128743.72,4,C,RENT,credit_card,non_default,2015-02-01,11.67
11000,6.92,200000.0,0,A,RENT,debt_consolidation,non_default,2015-04-01,18.17
10000,11.99,72000.0,10,B,MORTGAGE,debt_consolidation,non_default,2015-02-01,10.52
20000,14.99,75000.0,3,C,OWN,debt_consolidation,non_default,2016-11-01,10.16
11625,17.57,36400.0,6,D,MORTGAGE,debt_consolidation,default,2014-06-01,28.85
40000,6.07,115000.0,9,A,MORTGAGE,small_business,non_default,2018-04-01,15.61
9000,17.77,37000.0,4,D,OWN,debt_consolidation,default,2013-05-01,23.38
8000,11.44,42000.0,0,B,RENT,debt_consolidation,non_default,2015-01-01,8.49
2300,6.62,171000.0,10,A,MORTGAGE,major_purchase,non_default,2013-04-01,7.56
5000,14.47,27000.0,10,C,MORTGAGE,credit_card,default,2014-02-01,21.73
30000,17.57,76000.0,2,D,MORTGAGE,debt_consolidation,non_default,2015-10-01,26.36
15000,9.99,96000.0,2,B,RENT,debt_consolidation,non_default,2015-11-01,17.18
4000,13.67,93000.0,10,B,MORTGAGE,other,non_default,2012-06-01,17.59
1850,14.64,53000.0,10,C,RENT,debt_consolidation,non_default,2014-04-01,23.12
9200,7.9,53000.0,10,A,RENT,debt_consolidation,non_default,2013-09-01,6.75
19850,17.57,52000.0,10,D,MORTGAGE,debt_consolidation,default,2015-10-01,21.21
16000,12.99,127336.5,0,C,RENT,credit_card,non_default,2015-01-01,12.02
16000,8.9,50000.0,4,A,MORTGAGE,debt_consolidation,non_default,2011-09-01,23.88
4000,11.99,74880.0,3,B,RENT,other,non_default,2014-12-01,15.67
5000,14.65,95000.0,10,C,RENT,other,non_default,2015-06-01,21.68
7000,11.99,35000.0,3,C,OWN,debt_consolidation,non_default,2016-03-01,27.95
10000,6.07,190000.0,2,A,MORTGAGE,home_improvement,non_default,2018-04-01,8.46
22675,9.49,53532.0,10,B,OWN,credit_card,default,2016-08-01,21.81
15000,12.99,38000.0,2,B,RENT,credit_card,non_default,2013-10-01,21.98
20000,6.03,110000.0,8,A,RENT,credit_card,non_default,2014-01-01,13.0
10000,12.12,80000.0,10,B,RENT,debt_consolidation,non_default,2013-01-01,12.06
30000,12.74,90000.0,10,C,RENT,debt_consolidation,default,2016-11-01,22.93
3000,10.99,120000.0,10,B,MORTGAGE,home_improvement,non_default,2015-06-01,25.27
13000,9.99,30000.0,9,B,RENT,debt_consolidation,non_default,2015-03-01,16.12
8400,7.97,33000.0,1,A,RENT,debt_consolidation,non_default,2017-08-01,9.24
19200,6.39,125000.0,10,A,MORTGAGE,debt_consolidation,non_default,2015-02-01,21.16
10775,10.99,55000.0,10,B,MORTGAGE,debt_consolidation,non_default,2015-09-01,22.39
13000,6.89,110000.0,10,A,MORTGAGE,debt_consolidation,non_default,2015-08-01,23.6
20000,11.11,84000.0,10,B,RENT,debt_consolidation,non_default,2011-02-01,20.26
20850,17.57,52150.0,Unknown,D,MORTGAGE,debt_consolidation,default,2015-12-01,18.34
25000,14.99,95000.0,9,C,OWN,debt_consolidation,non_default,2014-12-01,15.18
12025,14.99,37000.0,8,C,OWN,debt_consolidation,default,2014-10-01,26.63
19600,6.97,65000.0,0,A,MORTGAGE,credit_card,non_default,2016-02-01,11.74
3500,8.59,37000.0,2,A,OWN,vacation,non_default,2016-08-01,9.28
6000,8.24,61000.0,2,B,RENT,credit_card,non_default,2017-04-01,14.99
8825,11.44,45000.0,Unknown,B,OWN,credit_card,non_default,2015-01-01,33.17
11200,11.47,252000.0,2,B,MORTGAGE,debt_consolidation,non_default,2016-02-01,23.62
10000,13.49,68000.0,Unknown,C,OWN,home_improvement,non_default,2016-11-01,32.63
35000,13.33,80000.0,10,C,MORTGAGE,debt_consolidation,non_default,2015-10-01,34.02
20000,17.09,65000.0,3,D,RENT,debt_consolidation,non_default,2017-10-01,16.89
28000,15.31,140000.0,10,C,MORTGAGE,credit_card,non_default,2013-02-01,22.48
12150,10.99,75510.0,0,B,RENT,debt_consolidation,non_default,2015-08-01,10.09
19500,7.62,55000.0,10,A,OWN,debt_consolidation,non_default,2013-05-01,15.64
10000,13.99,42493.0,2,C,RENT,debt_consolidation,non_default,2017-02-01,15.93
4000,13.98,53680.2,Unknown,C,RENT,medical,non_default,2014-09-01,4.52
28000,7.89,75000.0,7,A,MORTGAGE,home_improvement,non_default,2015-08-01,26.5
26575,9.99,135000.0,1,B,MORTGAGE,debt_consolidation,non_default,2015-11-01,12.04
14000,14.65,103000.0,10,C,MORTGAGE,debt_consolidation,non_default,2015-02-01,16.67
20000,6.49,78000.0,2,A,RENT,debt_consolidation,non_default,2016-01-01,11.0
8000,7.62,42000.0,Unknown,A,MORTGAGE,other,default,2012-11-01,0.0
4000,13.53,90000.0,10,B,MORTGAGE,home_improvement,default,2013-12-01,15.53
19950,13.99,40580.0,Unknown,C,MORTGAGE,debt_consolidation,non_default,2016-06-01,20.02
6325,18.55,40000.0,10,E,RENT,other,non_default,2015-09-01,6.51
24500,16.14,31500.0,0,C,RENT,debt_consolidation,non_default,2018-08-01,23.5
35000,9.17,77000.0,10,B,MORTGAGE,debt_consolidation,non_default,2016-01-01,14.46
11200,15.61,79200.0,3,D,MORTGAGE,credit_card,default,2014-09-01,9.8
7200,10.49,96300.0,4,B,MORTGAGE,debt_consolidation,non_default,2016-07-01,7.69
31225,20.75,71000.0,6,E,RENT,debt_consolidation,non_default,2016-02-01,25.81
10850,19.99,30200.0,2,E,RENT,debt_consolidation,default,2015-05-01,36.05
4750,12.29,38000.0,5,C,OWN,debt_consolidation,non_default,2015-04-01,13.99
21550,25.8,50000.0,10,G,MORTGAGE,home_improvement,default,2014-11-01,33.22
4000,10.99,55000.0,1,B,RENT,debt_consolidation,non_default,2014-03-01,23.35
10000,11.53,80000.0,10,B,MORTGAGE,home_improvement,non_default,2015-07-01,15.6
9000,14.64,38000.0,4,C,RENT,debt_consolidation,non_default,2014-03-01,28.9
6000,5.42,55000.0,10,A,RENT,debt_consolidation,non_default,2011-01-01,16.36
11000,12.69,25000.0,8,C,MORTGAGE,debt_consolidation,default,2015-05-01,12.43
20000,10.78,104150.0,10,B,MORTGAGE,debt_consolidation,non_default,2016-01-01,19.24
15000,11.53,64902.0,Unknown,B,MORTGAGE,debt_consolidation,non_default,2015-10-01,19.67
15000,5.32,82000.0,3,A,MORTGAGE,debt_consolidation,non_default,2015-11-01,22.83
20000,11.26,163900.0,10,B,MORTGAGE,small_business,default,2008-12-01,15.02
8000,12.69,55000.0,10,C,RENT,credit_card,non_default,2015-04-01,18.39
20500,9.16,60000.0,10,B,MORTGAGE,credit_card,non_default,2016-03-01,11.1
15000,14.49,65000.0,9,C,MORTGAGE,home_improvement,default,2016-07-01,19.06
12225,14.99,52000.0,3,C,RENT,debt_consolidation,default,2015-01-01,36.83
7000,11.99,85000.0,8,B,MORTGAGE,debt_consolidation,non_default,2014-03-01,11.38
30000,11.99,120000.0,10,B,RENT,debt_consolidation,non_default,2014-02-01,12.92
1000,13.56,52892.0,10,C,RENT,medical,non_default,2018-12-01,6.85
17000,8.24,61500.0,10,B,MORTGAGE,debt_consolidation,non_default,2016-12-01,24.49
5000,12.99,74100.0,10,C,MORTGAGE,home_improvement,non_default,2014-10-01,27.14
20000,12.29,59000.0,10,C,MORTGAGE,debt_consolidation,non_default,2015-03-01,28.86
2850,14.99,51000.0,10,C,MORTGAGE,debt_consolidation,non_default,2014-06-01,10.14
28000,7.89,123000.0,9,A,RENT,major_purchase,non_default,2015-12-01,7.29
22400,12.69,168000.0,10,C,MORTGAGE,debt_consolidation,non_default,2015-03-01,16.81
12000,19.99,44201.0,5,D,MORTGAGE,debt_consolidation,non_default,2016-08-01,20.73
11975,9.99,35000.0,5,B,MORTGAGE,debt_consolidation,non_default,2015-10-01,26.27
16100,19.03,71500.0,10,D,MORTGAGE,debt_consolidation,non_default,2017-07-01,16.06
15000,6.24,165000.0,2,A,MORTGAGE,debt_consolidation,non_default,2015-08-01,5.66
24000,21.85,37232.0,10,D,RENT,other,non_default,2018-03-01,23.53
35000,11.67,180000.0,7,B,MORTGAGE,credit_card,non_default,2014-06-01,14.24
9775,12.69,40000.0,1,C,MORTGAGE,debt_consolidation,non_default,2015-05-01,33.87
7000,9.75,42500.0,10,B,OWN,debt_consolidation,non_default,2016-03-01,15.02
5000,6.03,28800.0,3,A,RENT,other,non_default,2012-01-01,3.96
5000,15.61,50000.0,6,D,RENT,credit_card,non_default,2014-06-01,17.47
12000,7.89,65000.0,5,A,RENT,debt_consolidation,non_default,2015-10-01,18.32
30000,11.49,115000.0,10,B,MORTGAGE,home_improvement,non_default,2017-04-01,11.95
17050,21.98,53864.0,Unknown,E,RENT,credit_card,default,2013-06-01,13.28
15000,9.17,50000.0,5,B,MORTGAGE,debt_consolidation,non_default,2015-05-01,18.03
